College Name,Address,District,State,Contact number,Email id,Website
"Bihar Institute Of Tech, Dhanbad","Dhanbad Dhanbad,DhanbadJharkhand",Dhanbad,Jharkhand,2350495/2350496,N/A,www.bitsindri.ac.in
Biju Patnaik University Of Technology (Bput),Orissa769014,N\A,Orissa,(0661) 2501349,N/A,WWW.BPUT.ORG
"Birbhum Institute Of Engineering And Tech, Birbhum","Post - Suri, Birbhum Birbhum,BirbhumWest Bengal731101",Birbhum,West Bengal,03462-256839/258487/225557,N/A,www.bietsuri.com
"Birla Institute Of Applied Sciences, Nainital","Bhimtal, Nainital Nainital,NainitalUttarakhand",Nainital,Uttarakhand,05942 - 247032,bias@birlainstitute.com,www.birlainstitute.co.in
"Birla Institute Of Technology Ranchi, Mesra","Mesra, Ranchi Mesra,RanchiBihar",Mesra,Bihar,9.10651E+11,N/A,WWW.BITMESRA.AC.IN/
"Birla Vishwakarma Mahavidyalaya, Anand","Vallabh Vidyanagar, P.B. No.20 Anand,AnandGujarat388120",Anand,Gujarat,"02692-230104,230192",N/A,www.bvmengineering.ac.in
"Bms College Of Engineering (Evening), Bangalore","P.B.No. 1908, Bull Temple Road, Basavanagudi,       Bangalore Bangalore,BangaloreKarnataka560019",Bangalore,Karnataka,080-26622130-135 080-26614357,mkv2759@yahoo.co.in,N/A
"Bms Institute Of Technology And Management, Bangalore","Avalahalli, Yelahanka, Bangalore Bangalore,BangaloreKarnataka560064",Bangalore,Karnataka,080-28567187/28561576,principal_bmsit1@rediffmail.com,www.bmsit.org
"Brindavan College Of Engineering, Bangalore","Dwarakanagar, Bagalur Main Road, Yelahanka Bangalore,BangaloreKarnataka560063",Bangalore,Karnataka,080-23414557/56953450 080-23417832/23615621,info@brindivancollege.com,N/A
"Bundelkhand Institute Of Engineering And Technology, Jhansi","Bundelkhand University Dept, Jhansi Jhansi,JhansiUttar Pradesh284001",Jhansi,Uttar Pradesh,0517 - 2321343,sachanak@indiatimes.com,www.biet.up.nic.in
"C Abdul Hakeem College Of Engineering And Technology, Vellore","Hakeem Nagar, Melvisaram Vellore,VelloreTamil Nadu632509",Vellore,Tamil Nadu,04172 - 267387,cahcet@rediffmail.com,N/A
"C K Pithwala College Of Engineering And Technology, Surat","Near Malvan Mandir, Magdalla Port Near Dumas Road Surat,SuratGujarat395007",Surat,Gujarat,"0261-6587285, 2685381, 25542506",ckpim@rediffmail.com,www.ckpcet.ac.in
"C M S College Of Engineering, Namakkal","Cms Nagar, Ernapuram Post Namakkal,NamakkalTamil Nadu637003",Namakkal,Tamil Nadu,04286-263018,pr1cmsce@gmail.com,N/A
"C R State College Of Engineering, Murthal","Murthal, Sonepat Murthal,SonipatHaryana131039",Murthal,Haryana,0130-2484003,SCE@REDIFFMAIL.COM,N/A
"C S I College Of Engineering, Nilgiris","Ketti Post (Near Ooty), Coonoor Taluk, Nilgiris Nilgiris,NilgirisTamil Nadu643215",Nilgiris,Tamil Nadu,0423-2517474,info@csice.org,www.csice.org
"C S I Institute Of Technology, Kanyakumari","Grace Garden, Thovalai, Nagercoil Kanyakumari,KanyakumariTamil Nadu629302",Kanyakumari,Tamil Nadu,04652 - 2363176,collegecsiit@yahoo.com,http://www.csiit.ac.in
"C U Shah College Of Engineering And Technology, Surendra Nagar","Lakhu Pole, Near Kotharia Village, Wadhwan City Station Road Surendra Nagar,SurendranagarGujarat363030",Surendra,Gujarat,"02752-243800,242711-13",jgsanghavi@icenet.net,N/A
"C V Raman College Of Engineering, Bhubaneswar","Vidya Nagar, Mohura, Janla, Khurda Bhubaneswar,KhurdaOrissa752054",Bhubaneswar,Orissa,0674-2460743/2460693,info@cvraman.org,www.cvraman.org
"Caarmel Engineering College, Pathanamthitta","Koonamkara Post,, Perunad, Rannai Pathanamthitta,PathanamthittaKerala689711",Pathanamthitta,Kerala,04735-240990/240991/240992,enggcollege@caarmel.org,www.caarmelcollege.org
"Calcutta Institute Of Engineering And Mgt, Kolkata","I.T.I Tolly Gunge Campus, 24/1A Chandi Ghosh Road, Kolkata Kolkata,BankuraWest Bengal700040",Kolkata,West Bengal,033-24215747/9951,N/A,www.ciem.in
"Calcutta Institute Of Technology, Howrah","P.O. Banitabla, P.S. Uluberia, Dist Howrah Howrah,HowrahWest Bengal711316",Howrah,West Bengal,033-27094367,N/A,www.urschard.org
"Cambridge Institute Of Tech, Bangalore","K R Puram, Bangalore Bangalore,BangaloreKarnataka560036",Bangalore,Karnataka,080-25614581/25612067,combridgekrpuram@yabhoo.com.in,N/A
"Cambridge Institute Of Technology, Ranchi","Tatisilwai, Ranchi Ranchi,RanchiJharkhand835103",Ranchi,Jharkhand,2265455/2265444/2265449,N/A,N/A
Canara Engineering College,"Benjanapadavu, Kariangala Grama, BantwalKarnataka574219",N\A,Karnataka,0824 - 2278666 to 2278670,canarait@sancharnet.in,www.canaraengg.in
"Cape Institute Of Technology, Tirunelveli","Levengipuram, Near Azhagappapuram, Rajakrishnapuram P.O. Tirunelveli,TirunelveliTamil Nadu627114",Tirunelveli,Tamil Nadu,"04652 - 266076, 268078","capetech@rediffmail.com, capeitech@yahoo.com",http://www.capeitech.org
"Career Institute Of Technology And Management, Faridabad","Sector-43, Aravalli Hills, Bhadkal Surajkund Road Faridabad,FaridabadHaryana121001",Faridabad,Haryana,"0129-2370606,2370608,2370663",N/A,N/A
"Central India Institute Of Technology, Indore","Deevas, Indore By-Pass, Arandia, Indore Indore,IndoreMadhya Pradesh",Indore,Madhya Pradesh,"0731-5522337, 4220386,2545698","probbg_love@gmail.com,sri_sribpl@gmail.com",www.ciit.com
"Central Inst Of Plastic Engineering And Tech, Ahmedabad","Plot No 630, Gidc Estate, Phase Iv, Vatva Gidc, Ahmedabad, Gujarat Ahmedabad,AhmedabadGujarat382445",Ahmedabad,Gujarat,"079 - 25830569, 25835219, 25832267",N/A,N/A
"Central Institute Of Plastic Engineering And Tech, Mysore","Cipet Centre, 437/A Hebbal, Industrial Area, Mysore Mysore,MysoreKarnataka570016",Mysore,Karnataka,0821-2510618 / 2510349,cipetmys@sancharnet.in,www.cipetindia.com
"Central Institute Of Plastic Engineering And Tech, Lucknow","D-67, Amausi Industrial Area, Lucknow Lucknow,LucknowUttar Pradesh",Lucknow,Uttar Pradesh,0522-2437646,cipetko@satyam.net.in,N/A
"Central Institute Of Plastic Engineering And Technology, Chennai","Cipet Chennai, Thiru-Vi-Kaindustrialestate Chennai,ChennaiTamil Nadu600032",Chennai,Tamil Nadu,044 22254701 to 06,N/A,www.cipetindia.com
"Central Institute Of Plastics Engineering And Tech, Hajipur","Epip Complex, Industrrial Area Hajipur,PatnaBihar844101",Hajipur,Bihar,044 - 22311071,Cipethq@vsnl.com,www.cipetindia.com
"Centre For Development Of Advanced Computing, Mohali","A-34, Industrial Area, Phase-Viii, Mohali MohaliPunjab160059",Mohali,Punjab,0172- 2237052- 57,vipin.edewan@gmail.com,N/A
"Centre For Develpoment Of Advanced Computing Centre Of India, Noida","Anusandhan Bhawan, C-56/1, Sector - 62, Noida Noida,Gautam Buddha NagarUttar Pradesh201301",Noida,Uttar Pradesh,0120 - 2402551-60,rkverma@cdanoida.com,N/A
"Ch Brahm Prakash Government Engineering College, Najafgarh","Behind Rao Rula Ram Hospital, Jaffarpur, Najafgarh,New DelhiDelhi110048",Najafgarh,Delhi,+91-11-25318159,"acd.cbpgecj@gmail.com , deangec.delhi@gov.in ",www.gecdelhi.ac.in
"Ch Devi Lal Memorial Engineering College, Sirsa","21 Km Stone, Sirsa,Dabwali Road, Panniwala Mota Sirsa Sirsa,SirsaHaryana125055",Sirsa,Haryana,"01666-226902, 240716",N/A,N/A
"Chaitanya Bharathi Institute Of Tech, Hyderabad","Cbit Post,Gandipet, Hyderabad Hyderabad,RangareddyAndhra Pradesh500075",Hyderabad,Andhra Pradesh,91-8413-233356,N/A,www.cbit.ac.in
"Chamelidevi Institute Of Tech And Mgt, Indore","Gram Umrikheda Indore,IndoreMadhya Pradesh452020",Indore,Madhya Pradesh,"0731-4243600,4243620,2538874",principal@citm.edu.in,www.citm.edu.in
"Chandigarh College Of Engineering And Technology, Chandigarh","Sector-26 Chandigarh,ChandigarhChandigarh",Chandigarh,Chandigarh,0172-2793247,principal@ccet.org,www.ccet.org
"Chandigarh Engineering College, Mohali","Vpo-Landran, Mohali Mohali,RupnagarPunjab140038",Mohali,Punjab,"0172-2250787. 788, 789",ceclandran@hotmail.com,N/A
"Channa Basaveshwara Institute Of Technology, Tumkur","No. 206, B.H.Road, Gubbi Tumkur,TumkurKarnataka572216",Tumkur,Karnataka,08131-223818 /223365/223177,info@cittumkur.org,www.cittumkur.org
"Charotar Institute Of Technology, Anand","Changa, Petlad Anand Taluk Anand,AnandGujarat388421",Anand,Gujarat,"02697-247500,247101",N/A,www.ecchanga.ac.in
"Chattisgarh Institute Of Technology, Rajnandgaon","Near Parri Nalla, Kanhar Puri,G.E.Road, Rajnandgoan Rajnandgaon,RajnandgaonChhattisgarh491441",Rajnandgaon,Chhattisgarh,"07744-329455,222615",N/A,N/A
"Chaudhary Beeri Singh College Of Engineering And Management, Agra"," Agra,LucknowUttar Pradesh282006",Agra,Uttar Pradesh,"+91 8791319808,9927003279, +91 9319123100","cbsem547@gmail.com, info@cbsengg.org, cbscollegeem@yahoo.com",http://www.cbsengg.org/
"Chettinadu College Of Engineering And Technology, Karur","Nh-67, Trichy Main Road, Puliyur Cf Karur,KarurTamil Nadu639114",Karur,Tamil Nadu,"04324-250930, 250940, 250255",secretaryccet@gmail.com,N/A
"Chhatrapati Shivaji Institute Of Technology, Durg","Shivaji Nagar, Kolihapuri, P.O: Pisegoan, Balod Road Durg,DurgChhattisgarh491001",Durg,Chhattisgarh,"0788-2320884,2334808,2273971",admin@csitdurg.ac.in,www.csitdurg.ac.in
"Chitkara Institute Of Engineering And Technology, Patiala","Village- Jansla, Patiala Patiala,PatialaPunjab140401",Patiala,Punjab,"01762-507084, 507085 ,9872813010",info@chitkara.org,N/A
"Chouksey Engineering College, Bilaspur","Car Khadan, Masturi Road, Bilaspur Bilaspur,BilaspurChhattisgarh495007",Bilaspur,Chhattisgarh,"07752-257797-98,257734,0755",cecbsp@rediffmail.com,www.cecbsp.com
"Christ College Of Engineering And Technology, Pondicherry","Moolakulam, Oulgaret Municipality Pondicherry,PondicherryPondicherry",Pondicherry,Pondicherry,"0413-2293491, 2293492",sampaul22@hotmail.com,N/A
"Christian College Of Engineering And Technology, Dindigul","Near Check Post, Dindigul Road, Oddanchatram (Tk) Dindigul,DindigulTamil Nadu624619",Dindigul,Tamil Nadu,"04553 -240229,241128,293251",ccet@ccetodc.org,www.ccetodc.com
"City Engineering College, Bangalore","Vasanthapura, Uttarahalli Hobli, Bangalore South Bangalore,BangaloreKarnataka560061",Bangalore,Karnataka,080 - 26669313 / 4,cityengg@vsnl.net.in,www.cityengineeringcollege.org
"Cmr Institute Of Technology, Bangalore","# 132, Kundalahalli, I.T.Park Road, Aecs Layout Bangalore,BangaloreKarnataka560037",Bangalore,Karnataka,080-56971312 / 28524466/28524477,info@cmredu.com,www.cmredu.com
"Co Operative Institute Of Technology, Kozhikode","Maniyoor, Palayad Nada P.O Mandarathur, Vatakara Kozhikode,KozhikodeKerala673105",Kozhikode,Kerala,0496-2537225/2536125,citvcape@sancharnet.in,N/A
"Coimbatore Institute Of Engineering And Information Technology, Coimbatore","Vellimalaipattinam, Narasipuram Post Coimbatore,CoimbatoreTamil Nadu641109",Coimbatore,Tamil Nadu,"0422 - 2651131,2651132 , 2650703",ciet@kovaikalaimagal.org,www.kovaikalaimagal.org
"Coimbatore Institute Of Technology, Coimbatore","Avanashi Road, Civil Aerodrome Post Coimbatore,CoimbatoreTamil Nadu641014",Coimbatore,Tamil Nadu,0422 -2574071 / 72,rpcitpr@gmail.com,www.cit.edu.in
"Coimbatore Marine College, Coimbatore","296, Pollachi Main Road, Myleripalayam, Othakalmandapam Coimbatore,CoimbatoreTamil Nadu641032",Coimbatore,Tamil Nadu,"0422-2611123, 2611034",cmcmarine@dataone.in,www.coimbatoremarinecollege.com
"College Of Engineering, Kottayam","Kidangoor South P.O, Kottayam Kottayam,KottayamKerala686583",Kottayam,Kerala,0482-2255056 / 2256056,cekcape@sancharnet.in,www.ce-kgr.org
"College Of Engineering, Bhubaneswar","Unit - I, Sector - B, Chandaka Nucleus Industrial Complex, Bhubaneswar Bhubaneswar,KhurdaOrissa751024",Bhubaneswar,Orissa,0674-2554727/2440133/2550018,N/A,www.coeb.org
"College Of Engineering, Kottarakkara","Kottarakkara, Sird Post KottarakkaraKerala",Kottarakkara,Kerala,0479-2453300,jacob_tv@yahoo.com,www.cet.ihrd.ac.in
"College Of Engineering, Trivandrum","Thiruvananthapuram Trivandrum,ThiruvananthapuramKerala695016",Trivandrum,Kerala,0471-2575555 / 2598370 0471-2598370,cetvm@cet.ac.in,www.cet.ac.in
"College Of Engineering, Munnar","Kundali P.O, Munnar Munnar,ThiruvananthapuramKerala685612",Munnar,Kerala,04865-230606 / 232989,mail@cemunnar.org,www.cemunnar.org
"College Of Engineering, Pune","Wellesly Road, Shivajinagar Pune,PuneMaharashtra411055",Pune,Maharashtra,(020) - 25507000/ 25507110,N/A,www.moderncoe.com
"College Of Engineering Adoor, Pathanamthitta","Adoor, Pathananthitta Pathanamthitta,PathanamthittaKerala691523",Pathanamthitta,Kerala,04734-230640 / 231995,principal@cea.ac.in,www.cea.ac.in
"College Of Engineering Ambalamukku, Kollam","Kgp Building, Perumon, Kundara Kollam,KollamKerala691501",Kollam,Kerala,0474-2550500 / 2550400/ 2550100,principal@perumonec.ac.in,www.perumonec.ac.in
College Of Engineering And Management,"5Th Km Stone, Goindwal Road, Kapurthala,KapurthalaPunjab144601",N\A,Punjab,"01822-265203,265170,309673",N/A,N/A
"College Of Engineering And Management, Kolaghat","Kttp Township, Kolaghat Kolaghat,East MedinipurWest Bengal721171",Kolaghat,West Bengal,03228-250971/257221,N/A,www.cemkolaghat.org
College Of Engineering And Management,"5Th Km Stone, Goindwal Road, Kapurthala,KapurthalaPunjab144601",N\A,Punjab,"01822-265203,265170,309673",N/A,N/A
"College Of Engineering And Rural Technology, Meerut","Byepass Road, Partapur, Meerut Meerut,MeerutUttar Pradesh250002",N\A,Kerala,"0512 - 2770092, 2770093",N/A,N/A
"College Of Engineering And Technology, Jalgaon","Shrama Sadhana Trust, P.B.No. 94 Bambhori, Dharangaon Jalgaon,JalgaonMaharashtra425001",Bikaner,Rajasthan,(0257)-2258391/ 2258393,sscoet_jal@sancharnet.in,www.sscoetjalgaon.com
"College Of Engineering And Technology, Moradabad","Iftm Lodhipur Rajput, Delhi Road, Moradabad Moradabad,MoradabadUttar Pradesh244001",Jalgaon,Maharashtra,0591 - 6533563,directoriftm@hotmail.com,www.cetmbd.org
"College Of Engineering And Technology Iilm Academy For Higher Learning, Noida","Plot No. 17 & 18, Knowledge Park, Phase Ii, Greater Noida Noida,Gautam Buddha NagarUttar Pradesh",N\A,Orissa,"0120 - 2320056, 57, 59, 60",academy@iilm.ac.in,www.iilm.ac.in
College Of Engineering Attingal,"Attingal P.O, KeralaKerala695101",Noida,Uttar Pradesh,0470-2627400,ceattingal@yahoo.com,N/A
College Of Engineering Chengannur,"Chengannur, Alappuza,AlappuzhaKerala689121",N\A,Kerala,0479-2456046 / 2451424,principal@ceconline.edu,www.ceconline.edu
"College Of Engineering Cherthala, Pallipuram","Pallipuram, Alappuzha Pallipuram,AlappuzhaKerala688541",N\A,Kerala,0478-2553416 / 2552714,cecherthala@yahoo.com,www.cer.ihrd.ac.in
"College Of Engineering Cheruvikkal, Trivandrum","Thiruvananthapuram Trivandrum,ThiruvananthapuramKerala695016",Pallipuram,Kerala,0481-2598370 / 2515555,cetvm@cet.ac.in,www.cet.ac.in
"College Of Engineering Eranholi Village, Kannur","Thalassery Taluk, Kannur, Thiruvananthapuram Kannur,ThiruvananthapuramKerala670107",Trivandrum,Kerala,0490-2307190 / 2388930,cet_cape@sancharnet.in,www.cethalassery.ac.in
"College Of Engineering Kallooppara, Pathanamthitta","Kallooppara, Pathanamthitta Pathanamthitta,PathanamthittaKerala",Kottayam,Kerala,0469-2677890,info@cek.ac.in,www.cek.ac.in
"College Of Engineering Karunagapally, Kollam","Karungapally, Kollam, Thiruvananthapuram Kollam,KollamKerala690518",Pathanamthitta,Kerala,0476-2627242/2665000 / 262965,ceknpy@sancharnet.in,www.ihrdkerala.org
"College Of Engineering Poonjar, Kottayam","Thekkekara P.O, Kottayam, Thiruvananthapuram Kottayam,KottayamKerala686582",Kollam,Kerala,04822-271737,cepihrd@cepihrd.ac.in,www.cepihrd.ac.in
College Of Engineering Povval,"P.O.Muliyar, Kasaragod,KasargodKerala671542",Kottayam,Kerala,04994-250400/250290,principal@lbsce.org,www.lbsce.org
"College Of Engineering Roorkee, Haridwar","7Th Km., Roorkee - Hardwar Road, Post Box No.27, Vardhmanpuram, Roorkee Haridwar,HaridwarUttarakhand247667",N\A,Kerala,"01332 - 279737, 278011",coercollege@vsnl.net,www.coe-roorkee.com
"College Of Engineering Science And Tech, Lucknow","3/249, Vinay Khand, Gomti Nagar, Lucknow Lucknow,LucknowUttar Pradesh226010",Haridwar,Uttarakhand,0522 - 3958870,sbpct@hotmail.com,N/A
College Of Engineering Trikarippur,"Cheemeni P.O, Via. Cheruvathur, Kasargod,KasargodKerala",Lucknow,Uttar Pradesh,0467-2250377,tkrcape@sanchar.net.in,www.cetkr.ac.in
"College Of Science And Engineering, Jhansi","16Th Km, Ambabai Gwalior Road, Jhansi Jhansi,JhansiUttar Pradesh",N\A,Kerala,"0510 - 2730090, 2730091",csejhansi_2004@yahoo.co.in,www.cseindia.in
"Compucom Institute Of Information Tech And Mgt, Jaipur","Sp-3, 5, 5, 5A, Epip Riico Industrial Area, Sitapura, Jaipur Jaipur,JaipurRajasthan302022",Raipur,Chhattisgarh,"0141-5115901,902,2770131,134",mgmt@citm.org,N/A
"Coorg Institute Of Technology, Ponnampet","Kunda, Ponnampet, Kodagu Ponnampet,KodaguKarnataka571216",Jaipur,Rajasthan,08274-249771/261151,info@citcoorg.in,www.citcoorg.in
"Crescent College Of Technology, Bhopal","Opp Bhopal Memorial Hospital, Karond Bye Pass Road, Nabi Bagh Bhopal,BhopalMadhya Pradesh",Ponnampet,Karnataka,0755-2801999,N/A,www.royalcrescentgroup.com
Ct Institute Of Engineering Mgt And Tech,"Shahpur, Jalandhar,JalandharPunjab144026",Bhopal,Madhya Pradesh,"0181-2895967,2895968,9815060007",info@ctedu.ac.in,N/A
"Cusrow Wadia Inst Of Tech, Pune","Modern Education Society, 19, Late Prin, V.K. Joag Path Pune,PuneMaharashtra411050",N\A,Punjab,(020) -26124117,principal_cwitpune@vsnl.com,www.cwitpune.org
D A V College Of Engineering And Tecdhnology,"Kanina,MahendragarhHaryana123027",Pune,Maharashtra,"01285-235102,235104",N/A,N/A
"D J College Of Engineering And Tech, Ghaziabad","Niwari Road, Modinagar, Ghaziabad Ghaziabad,GhaziabadUttar Pradesh",N\A,Haryana,"01232 - 325052, 250882-84",djengcollege@yahoo.com,www.djuniverse.org.in
"D M I College Of Engineering, Tiruvallur","Palanchoor, Mevalurkuppam ‘B’ Village, Nazrethpet Post Tiruvallur,TiruvallurTamil Nadu602103",Ghaziabad,Uttar Pradesh,"2,681,154,226,810,640",dmichennai@yahoo.co.in,http://dmicollege.ac.in
D N S College Of Engineering And Tech,"Didoli Village, Nh-24, Amroha, J.P. Nagar,Jyotiba Phule NagarUttar Pradesh",Tiruvallur,Tamil Nadu,"05922-293939, 293940",dns-tech2007@yahoo.co.in,N/A
"Dattajirao Kadam Tech Ed Soc Textile And Engineering Inst, Kolhapur","Ichalkaranji, Hatkanangale, Kolhapur Kolhapur,KolhapurMaharashtra416115",Khammam,Andhra Pradesh,(0230) 2421300,kpr_textile@sancharnet.in,www.dktes.com
"Dav Institute Of Engineering And Technology, Jalandhar","Kabir Nagar, Jalandhar Jalandhar,JalandharPunjab",Kolhapur,Maharashtra,"0181-2200126, 2202004,9814345504",daviet@davietjal.org,N/A
"Dayananda Sagar College Of Engineering, Bangalore","Shavige Malleshwara Hills, Kumaraswamy Layout, Bangalore Bangalore,BangaloreKarnataka560078",Jalandhar,Punjab,080 - 26662226 / 26660789,dsisagar@hotmail.com,www.dayanandasagar.edu
"Dehradun Institute Of Tech, Dehradun","Mussoorie Diversion Road, Village - Makkawala, P.O.,Post Box No110, Bhagwantpur Dehradun,DehradunUttarakhand248001",Tiruvallur,Tamil Nadu,0135 - 2735590-93,dit@ditddun.org,www.dit.edu.in
"Delhi College Of Engineering, Delhi","Shahbad-Daulatpur, Bawana Road, Delhi,New DelhiDelhi110042",Dehradun,Uttarakhand,011 27871030 ,N/A,www.dce.edu
"Delhi Institute Of Tool Engineering DITE Wazipur, Delhi","Wazipur Industrial Area, Delhi,North DelhiDelhi110052",Delhi,Delhi," 27006130, 27006129, 27372618, 27372745 ",dpdite@gmail.com,http://dite.delhigovt.nic.in
"Delhi Institute Of Tool Engineering DITE Wazipur, Delhi","Wazipur Industrial Area, Delhi,North DelhiDelhi110052",Delhi,Delhi," 27006130, 27006129, 27372618, 27372745 ",dpdite@gmail.com,http://dite.delhigovt.nic.in
Desh Bhagat Engineering College,"Amloh Road, Mandi Gobindgarh,Fatehgarh SahibPunjab147301",N\A,Maharashtra,"01765-506644, 506222",dbec@rediffmail.com.,N/A
"Dev Bhoomi Institute Of Technology, Dehradun","Navgaon, Vikas Nagar, Dehradun Dehradun,DehradunUttarakhand248001",N\A,Punjab,"0135-2694241,42,4344",dbitdoon@yahoo.co.in,www.dbitdoon.com
"Dewan V S Institute Of Engineering And Tech, Meerut","By Pass Road, Pratpur, Meerut Meerut,MeerutUttar Pradesh250103",Krishna,Andhra Pradesh,"0121-2440315, 2440375",dvsiet311@gmail.com,N/A
"Dhaanish Ahmed College Of Engineering, Chennai","Nh48, Vanchuvanchery, Padappai Post, Sriperumpudur Taluk Chennai,KanchipuramTamil Nadu601301",Meerut,Uttar Pradesh,"044 - 27174747,27174748",mail@dhaanish.org.,www.dhaanish.org
"Dhanalakshmi College Of Engineering, Kanchipuram","Manimangalam – Puduchery Roa, Manimangalam Village, Varadharajapuram Post, Sriperumpudur Taluk Kanchipuram,KanchipuramTamil Nadu601301",Chennai,Tamil Nadu,044 65619401,N/A,N/A
"Dhanalakshmi College Of Engineering, Kanchipuram","Manimangalam – Puduchery Roa, Manimangalam Village, Varadharajapuram Post, Sriperumpudur Taluk Kanchipuram,KanchipuramTamil Nadu601301",Chennai,Tamil Nadu,044 65619401,N/A,N/A
"Dhanalakshmi Srinivasan College Of Engineering And Technology, Chennai","157, Poonjeri Village, Mamallapuram, Thirukkalukundram Taluk Chennai,KanchipuramTamil Nadu603104",Kanchipuram,Tamil Nadu,"044- 27443844, 27442844",royal_m322@yahoo.co.in,www.dscet.ac.in
"Dhanalakshmi Srinivasan Engineering College, Pudukotai","227-C, Thuraiyur Road, Perambalur Pudukotai,PerambalurTamil Nadu621212",Kanchipuram,Tamil Nadu,"04328 - 220444,220333",dsengg-p829@yhaoo.co.in,N/A
"Dhanalakshmi Srinivasan Engineering College Perambalur, Perambalur","Thuraiyur Road Perambalur,PerambalurTamil Nadu621212",Chennai,Tamil Nadu,04328-220444 / 04328-220333,dsengg_p829@yahoo.co.in,www.dsengg.com
"Dhaneshwar Rath Instt Of Engineering And Mgt Studies, Tangi","Kairling, P.O.Kotsahi, Kotsahi, Tangi Tangi,CuttackOrissa754 002",Pudukotai,Tamil Nadu,0671-2370248/2695062/2695063/2312021,mbadriems@yahoo.com,www.driems.ac.in
"Disha Institute Of Managemnet And Technology Satya Vihar, Raipur","Nardah-Chandkhuri, Marg Teh- Arang Raipur,RaipurChhattisgarh492101",Chennai,Tamil Nadu,"0771-2472000,4200110,4035300",info@dimatindia.com,www.dimatindia.com
"Dit School Of Engineering, Noida","Plot No 48-A, Knowledge Park Iii, Greater Noida Noida,Gautam Buddha NagarUttar Pradesh201308",N\A,Gujarat,"0120-3000000, 2230221",vicechairman@ditdun.org,N/A
"Dnyanganga College Of Engineering And Research, Haveli","S. No.39 , Narhe, Haveli Haveli,PuneMaharashtra411041",Raipur,Chhattisgarh,020-24390657,N/A,N/A
Doaba Inst Of Engineering And Technology (Diet),"Ghataur, Po Allapur ,Tehkharar, RoparPunjab",Noida,Uttar Pradesh,"0172-5099401, 5032136",doaba_co@yahoo.co.in,N/A
"Doeacc Center, Gorakhpur","Madan Mohan Malviya Engginering, College Campus, Gorakhpur Gorakhpur,GorakhpurUttar Pradesh273010",Haveli,Maharashtra,"0511-2273371,2273872",groakhpur@doeacc.org.in,N/A
"Doeacc Centre, Aurangabad","University Campus, Aurangabad Aurangabad,AurangabadMaharashtra431004",N\A,Punjab,(0) 0240-2400120/520/521,Aurangabad@doeacc.edu.in,N/A
"Doeacc Centre Calicut, Kozhikode","Chathamangalam Village, Kozhikode, Kozhikode Kozhikode,KozhikodeKerala673601",Gorakhpur,Uttar Pradesh,0495-2287266 / 2287123/ 2287267,director@doeacccalicut.ac.in,www.doeacccalicut.ac.in
"Don Basco Institute Of Technology, Kurla","Premier Automobile Road Kurla(W), Kurula, Mumbai Kurla,Mumbai CityMaharashtra400070",Aurangabad,Maharashtra,(022)-24180314/16/ 17,dbit@donboscocoit.ac.in,www.donboscoit.ac.in
"Don Bosco College Of Engineering And Technology, Guwahati","Airport Road, Azara, Guwahti Guwahati,KamrupAssam781017",Kozhikode,Kerala,91-9435545754,hr@dbuniversity.in,www.dbuniversity.in
"Don Bosco Institute Of Technology, Bangalore","Sy No. 1,4 & 8, Kumbalgod Village, Kengeri Hobli,Bangalore South Bangalore,BangaloreKarnataka560074",Kurla,Maharashtra,080 - 28437028 / 29,donbosco@dbit.ac.in,www.dbit.ac.in
"Doon Valley Institute Of Engineering And Technology, Karnal","Outside Jundla Gate, Karnal Karnal,KarnalHaryana132001",Vaticherukura,Andhra Pradesh,"0184-3090800, 9812089553, 2272338",direthkl@yahoo.co.in,www.doonvalleygroup.in
"Dr Akhilesh Das Gupta Institute Of Technology And Management, Delhi","Plot No. 26-A, Facility Centre, Shastri Park, Delhi,New DelhiDelhi110053",Muzaffarnagar,Uttar Pradesh,"+91(11) 49905900-99, 32526261-64, 22854321",info@niecdelhi.ac.in,www.niecdelhi.ac.in
"Dr Ambedkar Inst Of Technology, Bangalore","Mallathahally, Near Jnana Bharathi Campus, Bangalore Bangalore,BangaloreKarnataka560056",Karnal,Haryana,080 - 23217789 / 23211504/5/6 / 23218534,kmartin8181@yahoo.co.in,www.dr-ait.org
"Dr Ambedkar Instt Of Tech For Handicapped, Kanpur","Awadhpuri, Kanpur Kanpur,Kanpur NagarUttar Pradesh208024",Delhi,Delhi,0512 - 2583221,aith_knp@hotmail.com,www.aith.ac.in
"Dr B C Roy Engineering College, Durgapur","Lokenath Bhawan, Ambagan, Durgapur Durgapur,DurgapurWest Bengal713213",Bangalore,Karnataka,0343-2502449/2501353/2600920,N/A,N/A
"Dr B R Ambedkar National Institute Of Technology, Jalandhar","Gt Road Bye Pass, Po Nussi Jalandhar,JalandharPunjab144027",Durgapur,West Bengal,"91-0181-2690301-02-03, 2690802, 2690324",drrsharma@iycos.com,WWW.NITJ.AC.IN
Dr Bhausaheb Nandurkar College Of Engineering,"Shri Satya Sai Krida Nagari, Waghapur Road, Yavatmal,YavatmalMaharashtra445001",N\A,Punjab,(0) (07232)-2247678/325439/255537,info@abncoe.com/admin@abncoe.com,www.pncpe.com
"Dr C V Raman Institute Of Sc And Technology, Bilaspur","Kargi Road, Block-Kota Bilaspur,BilaspurChhattisgarh",Jalandhar,Punjab,07753-202587,cvruraipur@yahoo.co.in,N/A
